Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading 16 intestinal samples (VF2 direct supervision) ...
  B004_ascending_ct25: 21,232 nodes, vf2_zero=1546, vf2_nonzero=1379, vf2_mean(nonzero)=29.7
  B005_ascending_ct24: 17,312 nodes, vf2_zero=1300, vf2_nonzero=1300, vf2_mean(nonzero)=25.3
  B005_descendingSigmoid_ct20: 14,230 nodes, vf2_zero=1169, vf2_nonzero=371, vf2_mean(nonzero)=75.5
  B005_duodenum_ct25: 23,558 nodes, vf2_zero=1273, vf2_nonzero=1652, vf2_mean(nonzero)=27.3
  B005_ileum_ct25: 17,670 nodes, vf2_zero=1748, vf2_nonzero=1177, vf2_mean(nonzero)=28.5
  B006_descendingSigmoid_ct23: 24,585 nodes, vf2_zero=1075, vf2_nonzero=1225, vf2_mean(nonzero)=37.8
  B006_descending_ct24: 20,379 nodes, vf2_zero=1357, vf2_nonzero=1243, vf2_mean(nonzero)=31.7
  B008_ascending_ct22: 5,829 nodes, vf2_zero=1541, vf2_nonzero=483, vf2_mean(nonzero)=23.5
  B008_transverse_ct23: 22,279 nodes, vf2_zero=1465, vf2_nonzero=835, vf2_mean(nonzero)=52.1
  B010_ascending_ct25: 22,961 nodes, vf2_zero=1830, vf2_nonzero=1095, vf2_mean(nonzero)=40.1
  B010_descendingSigmoid_ct24: 24,158 nodes, vf2_zero=1066, vf2_nonzero=1534, vf2_mean(nonzero)=30.0
  B010_descending_ct24: 19,612 nodes, vf2_zero=1388, vf2_nonzero=1212, vf2_mean(nonzero)=31.2
  B010_transverse_ct24: 14,924 nodes, vf2_zero=1458, vf2_nonzero=1142, vf2_mean(nonzero)=24.9
  B011_ascending_ct24: 20,382 nodes, vf2_zero=1278, vf2_nonzero=1322, vf2_mean(nonzero)=29.5
  B011_descendingSigmoid_ct24: 21,201 nodes, vf2_zero=1413, vf2_nonzero=1187, vf2_mean(nonzero)=34.5
  B011_descending_ct24: 20,504 nodes, vf2_zero=1236, vf2_nonzero=1364, vf2_mean(nonzero)=28.4
Loaded 16 samples (310,816 nodes total) in 9.6s
Loading B004_ascending (benchmark eval data) ...
  B004_ascending: 21,232 nodes, 2,925 patterns
Parameters: 302,209

step 00000 (0.0%) | loss: 15.0503 | dt: 1596ms | remaining: 300s   
step 00001 (0.0%) | loss: 15.0284 | dt: 490ms | remaining: 300s   
step 00002 (0.0%) | loss: 14.9911 | dt: 357ms | remaining: 300s   
step 00003 (0.0%) | loss: 14.7326 | dt: 243ms | remaining: 300s   
step 00004 (0.0%) | loss: 14.3562 | dt: 244ms | remaining: 300s   
step 00005 (0.1%) | loss: 13.8455 | dt: 345ms | remaining: 300s   
step 00006 (0.2%) | loss: 13.2842 | dt: 287ms | remaining: 299s   
step 00007 (0.3%) | loss: 12.6913 | dt: 245ms | remaining: 299s   
step 00008 (0.4%) | loss: 12.1022 | dt: 303ms | remaining: 299s   
step 00009 (0.5%) | loss: 11.5407 | dt: 398ms | remaining: 298s   
step 00010 (0.6%) | loss: 11.0093 | dt: 235ms | remaining: 298s   
step 00011 (0.7%) | loss: 10.5161 | dt: 254ms | remaining: 298s   
step 00012 (0.8%) | loss: 10.0358 | dt: 364ms | remaining: 298s   
step 00013 (0.9%) | loss: 9.5817 | dt: 320ms | remaining: 297s   
step 00014 (1.0%) | loss: 9.1314 | dt: 237ms | remaining: 297s   
step 00015 (1.1%) | loss: 8.7061 | dt: 377ms | remaining: 297s   
step 00016 (1.2%) | loss: 8.2944 | dt: 294ms | remaining: 296s   
step 00017 (1.3%) | loss: 7.9049 | dt: 239ms | remaining: 296s   
step 00018 (1.4%) | loss: 7.5429 | dt: 325ms | remaining: 296s   
step 00019 (1.5%) | loss: 7.2097 | dt: 423ms | remaining: 295s   
step 00020 (1.7%) | loss: 6.8749 | dt: 305ms | remaining: 295s   
step 00021 (1.7%) | loss: 6.5597 | dt: 233ms | remaining: 295s   
step 00022 (1.8%) | loss: 6.2543 | dt: 359ms | remaining: 294s   
step 00023 (2.0%) | loss: 5.9670 | dt: 436ms | remaining: 294s   
step 00024 (2.1%) | loss: 5.6914 | dt: 290ms | remaining: 294s   
step 00580 (70.4%) | loss: 0.2123 | dt: 374ms | remaining: 89s   
step 00581 (70.5%) | loss: 0.2105 | dt: 419ms | remaining: 89s   
step 00582 (70.6%) | loss: 0.2086 | dt: 317ms | remaining: 88s   
step 00583 (70.7%) | loss: 0.2068 | dt: 414ms | remaining: 88s   
step 00584 (70.9%) | loss: 0.2140 | dt: 351ms | remaining: 87s   
step 00585 (71.0%) | loss: 0.2110 | dt: 395ms | remaining: 87s   
step 00586 (71.1%) | loss: 0.2070 | dt: 366ms | remaining: 87s   
step 00587 (71.2%) | loss: 0.2057 | dt: 408ms | remaining: 86s   
step 00588 (71.4%) | loss: 0.2024 | dt: 446ms | remaining: 86s   
step 00589 (71.5%) | loss: 0.1999 | dt: 367ms | remaining: 85s   
step 00590 (71.6%) | loss: 0.1989 | dt: 349ms | remaining: 85s   
step 00591 (71.8%) | loss: 0.1949 | dt: 384ms | remaining: 85s   
step 00592 (71.9%) | loss: 0.1957 | dt: 280ms | remaining: 84s   
step 00593 (72.0%) | loss: 0.1980 | dt: 441ms | remaining: 84s   
step 00594 (72.1%) | loss: 0.1967 | dt: 388ms | remaining: 84s   
step 00595 (72.3%) | loss: 0.1953 | dt: 388ms | remaining: 83s   
step 00596 (72.4%) | loss: 0.1924 | dt: 396ms | remaining: 83s   
step 00597 (72.5%) | loss: 0.1890 | dt: 410ms | remaining: 82s   
step 00598 (72.6%) | loss: 0.1881 | dt: 328ms | remaining: 82s   
step 00599 (72.8%) | loss: 0.1905 | dt: 375ms | remaining: 82s   
step 00600 (72.9%) | loss: 0.1877 | dt: 335ms | remaining: 81s   
step 00601 (73.0%) | loss: 0.1865 | dt: 362ms | remaining: 81s   
step 00602 (73.1%) | loss: 0.1841 | dt: 358ms | remaining: 81s   
step 00603 (73.2%) | loss: 0.1833 | dt: 367ms | remaining: 80s   
step 00604 (73.4%) | loss: 0.1826 | dt: 352ms | remaining: 80s   
step 00605 (73.5%) | loss: 0.1823 | dt: 333ms | remaining: 80s   
step 00606 (73.6%) | loss: 0.1806 | dt: 411ms | remaining: 79s   
step 00607 (73.7%) | loss: 0.1820 | dt: 359ms | remaining: 79s   
step 00608 (73.9%) | loss: 0.1797 | dt: 405ms | remaining: 78s   
step 00609 (74.0%) | loss: 0.1783 | dt: 386ms | remaining: 78s   
step 00610 (74.1%) | loss: 0.1755 | dt: 429ms | remaining: 78s   
step 00611 (74.3%) | loss: 0.1836 | dt: 389ms | remaining: 77s   
step 00612 (74.4%) | loss: 0.1873 | dt: 406ms | remaining: 77s   
step 00613 (74.5%) | loss: 0.1849 | dt: 386ms | remaining: 76s   
step 00614 (74.6%) | loss: 0.1854 | dt: 372ms | remaining: 76s   
step 00615 (74.8%) | loss: 0.1845 | dt: 447ms | remaining: 76s   
step 00616 (74.9%) | loss: 0.1837 | dt: 412ms | remaining: 75s   
step 00617 (75.0%) | loss: 0.1839 | dt: 320ms | remaining: 75s   
step 00618 (75.2%) | loss: 0.1823 | dt: 367ms | remaining: 75s   
step 00619 (75.3%) | loss: 0.1790 | dt: 381ms | remaining: 74s   
step 00620 (75.4%) | loss: 0.1777 | dt: 387ms | remaining: 74s   
step 00621 (75.5%) | loss: 0.1800 | dt: 325ms | remaining: 73s   
step 00622 (75.7%) | loss: 0.1783 | dt: 389ms | remaining: 73s   
step 00623 (75.8%) | loss: 0.1769 | dt: 363ms | remaining: 73s   
step 00624 (75.9%) | loss: 0.1773 | dt: 386ms | remaining: 72s   
step 00625 (76.0%) | loss: 0.1766 | dt: 394ms | remaining: 72s   
step 00626 (76.2%) | loss: 0.1753 | dt: 361ms | remaining: 72s   
step 00627 (76.3%) | loss: 0.1729 | dt: 367ms | remaining: 71s   
step 00628 (76.4%) | loss: 0.1708 | dt: 361ms | remaining: 71s   
step 00629 (76.5%) | loss: 0.1712 | dt: 381ms | remaining: 70s   
step 00630 (76.7%) | loss: 0.1701 | dt: 420ms | remaining: 70s   
step 00631 (76.8%) | loss: 0.1679 | dt: 340ms | remaining: 70s   
step 00632 (76.9%) | loss: 0.1690 | dt: 361ms | remaining: 69s   
step 00633 (77.0%) | loss: 0.1676 | dt: 281ms | remaining: 69s   
step 00634 (77.1%) | loss: 0.1669 | dt: 409ms | remaining: 69s   
step 00635 (77.2%) | loss: 0.1653 | dt: 332ms | remaining: 68s   
step 00636 (77.4%) | loss: 0.1651 | dt: 378ms | remaining: 68s   
step 00637 (77.5%) | loss: 0.1659 | dt: 423ms | remaining: 67s   
step 00638 (77.6%) | loss: 0.1743 | dt: 305ms | remaining: 67s   
step 00639 (77.7%) | loss: 0.1754 | dt: 352ms | remaining: 67s   
step 00640 (77.8%) | loss: 0.1728 | dt: 377ms | remaining: 66s   
step 00641 (78.0%) | loss: 0.1721 | dt: 366ms | remaining: 66s   
step 00642 (78.1%) | loss: 0.1748 | dt: 410ms | remaining: 66s   
step 00643 (78.3%) | loss: 0.1749 | dt: 442ms | remaining: 65s   
step 00644 (78.4%) | loss: 0.1740 | dt: 372ms | remaining: 65s   
step 00645 (78.5%) | loss: 0.1739 | dt: 363ms | remaining: 64s   
step 00646 (78.6%) | loss: 0.1741 | dt: 422ms | remaining: 64s   
step 00647 (78.7%) | loss: 0.1757 | dt: 237ms | remaining: 64s   
step 00648 (78.8%) | loss: 0.1812 | dt: 370ms | remaining: 63s   
step 00649 (79.0%) | loss: 0.1840 | dt: 358ms | remaining: 63s   
step 00650 (79.1%) | loss: 0.1818 | dt: 392ms | remaining: 63s   
step 00651 (79.2%) | loss: 0.1802 | dt: 443ms | remaining: 62s   
step 00652 (79.4%) | loss: 0.1785 | dt: 440ms | remaining: 62s   
step 00653 (79.5%) | loss: 0.1824 | dt: 397ms | remaining: 61s   
step 00654 (79.6%) | loss: 0.1796 | dt: 367ms | remaining: 61s   
step 00655 (79.8%) | loss: 0.1814 | dt: 374ms | remaining: 61s   
step 00656 (79.9%) | loss: 0.1797 | dt: 311ms | remaining: 60s   
step 00657 (80.0%) | loss: 0.1787 | dt: 437ms | remaining: 60s   
step 00658 (80.2%) | loss: 0.1763 | dt: 481ms | remaining: 59s   
step 00659 (80.3%) | loss: 0.1774 | dt: 340ms | remaining: 59s   
step 00660 (80.4%) | loss: 0.1754 | dt: 359ms | remaining: 59s   
step 00661 (80.5%) | loss: 0.1717 | dt: 323ms | remaining: 58s   
step 00662 (80.6%) | loss: 0.1697 | dt: 343ms | remaining: 58s   
step 00663 (80.8%) | loss: 0.1689 | dt: 437ms | remaining: 58s   
step 00664 (80.9%) | loss: 0.1695 | dt: 335ms | remaining: 57s   
step 00665 (81.0%) | loss: 0.1686 | dt: 365ms | remaining: 57s   
step 00666 (81.1%) | loss: 0.1662 | dt: 332ms | remaining: 57s   
step 00667 (81.3%) | loss: 0.1648 | dt: 491ms | remaining: 56s   
step 00668 (81.4%) | loss: 0.1741 | dt: 372ms | remaining: 56s   
step 00669 (81.5%) | loss: 0.1760 | dt: 423ms | remaining: 55s   
step 00670 (81.6%) | loss: 0.1777 | dt: 300ms | remaining: 55s   
step 00671 (81.8%) | loss: 0.1794 | dt: 374ms | remaining: 55s   
step 00672 (81.9%) | loss: 0.1768 | dt: 400ms | remaining: 54s   
step 00673 (82.0%) | loss: 0.1753 | dt: 355ms | remaining: 54s   
step 00674 (82.1%) | loss: 0.1752 | dt: 336ms | remaining: 54s   
step 00675 (82.3%) | loss: 0.1723 | dt: 394ms | remaining: 53s   
step 00676 (82.4%) | loss: 0.1694 | dt: 412ms | remaining: 53s   
step 00677 (82.5%) | loss: 0.1688 | dt: 402ms | remaining: 52s   
step 00678 (82.7%) | loss: 0.1694 | dt: 333ms | remaining: 52s   
step 00679 (82.8%) | loss: 0.1679 | dt: 346ms | remaining: 52s   
step 00680 (82.9%) | loss: 0.1737 | dt: 289ms | remaining: 51s   
step 00681 (83.0%) | loss: 0.1735 | dt: 414ms | remaining: 51s   
step 00682 (83.1%) | loss: 0.1794 | dt: 360ms | remaining: 51s   
step 00683 (83.2%) | loss: 0.1862 | dt: 332ms | remaining: 50s   
step 00684 (83.3%) | loss: 0.1828 | dt: 350ms | remaining: 50s   
step 00685 (83.5%) | loss: 0.1794 | dt: 361ms | remaining: 50s   
step 00686 (83.6%) | loss: 0.1810 | dt: 422ms | remaining: 49s   
step 00687 (83.7%) | loss: 0.1776 | dt: 411ms | remaining: 49s   
step 00688 (83.9%) | loss: 0.1790 | dt: 372ms | remaining: 48s   
step 00689 (84.0%) | loss: 0.1825 | dt: 390ms | remaining: 48s   
step 00690 (84.1%) | loss: 0.1809 | dt: 419ms | remaining: 48s   
step 00691 (84.2%) | loss: 0.1832 | dt: 255ms | remaining: 47s   
step 00692 (84.3%) | loss: 0.1839 | dt: 359ms | remaining: 47s   
step 00693 (84.5%) | loss: 0.1810 | dt: 356ms | remaining: 47s   
step 00694 (84.6%) | loss: 0.1827 | dt: 416ms | remaining: 46s   
step 00695 (84.7%) | loss: 0.1844 | dt: 420ms | remaining: 46s   
step 00696 (84.9%) | loss: 0.1837 | dt: 343ms | remaining: 45s   
step 00697 (85.0%) | loss: 0.1823 | dt: 412ms | remaining: 45s   
step 00698 (85.1%) | loss: 0.1827 | dt: 378ms | remaining: 45s   
step 00699 (85.2%) | loss: 0.1801 | dt: 381ms | remaining: 44s   
step 00700 (85.3%) | loss: 0.1770 | dt: 271ms | remaining: 44s   
step 00701 (85.4%) | loss: 0.1760 | dt: 331ms | remaining: 44s   
step 00702 (85.6%) | loss: 0.1735 | dt: 353ms | remaining: 43s   
step 00703 (85.7%) | loss: 0.1737 | dt: 377ms | remaining: 43s   
step 00704 (85.8%) | loss: 0.1751 | dt: 377ms | remaining: 43s   
step 00705 (85.9%) | loss: 0.1757 | dt: 349ms | remaining: 42s   
step 00706 (86.0%) | loss: 0.1738 | dt: 340ms | remaining: 42s   
step 00707 (86.2%) | loss: 0.1722 | dt: 412ms | remaining: 41s   
step 00708 (86.3%) | loss: 0.1715 | dt: 388ms | remaining: 41s   
step 00709 (86.4%) | loss: 0.1702 | dt: 363ms | remaining: 41s   
step 00710 (86.6%) | loss: 0.1685 | dt: 375ms | remaining: 40s   
step 00711 (86.7%) | loss: 0.1685 | dt: 449ms | remaining: 40s   
step 00712 (86.8%) | loss: 0.1665 | dt: 415ms | remaining: 39s   
step 00713 (87.0%) | loss: 0.1697 | dt: 327ms | remaining: 39s   
step 00714 (87.1%) | loss: 0.1686 | dt: 380ms | remaining: 39s   
step 00715 (87.2%) | loss: 0.1668 | dt: 339ms | remaining: 38s   
step 00716 (87.4%) | loss: 0.1698 | dt: 460ms | remaining: 38s   
step 00717 (87.5%) | loss: 0.1683 | dt: 358ms | remaining: 38s   
step 00718 (87.6%) | loss: 0.1653 | dt: 468ms | remaining: 37s   
step 00719 (87.7%) | loss: 0.1653 | dt: 327ms | remaining: 37s   
step 00720 (87.9%) | loss: 0.1646 | dt: 353ms | remaining: 36s   
step 00721 (88.0%) | loss: 0.1641 | dt: 366ms | remaining: 36s   
step 00722 (88.1%) | loss: 0.1630 | dt: 258ms | remaining: 36s   
step 00723 (88.2%) | loss: 0.1626 | dt: 386ms | remaining: 35s   
step 00724 (88.3%) | loss: 0.1628 | dt: 378ms | remaining: 35s   
step 00725 (88.4%) | loss: 0.1656 | dt: 356ms | remaining: 35s   
step 00726 (88.6%) | loss: 0.1663 | dt: 412ms | remaining: 34s   
step 00727 (88.7%) | loss: 0.1710 | dt: 323ms | remaining: 34s   
step 00728 (88.8%) | loss: 0.1871 | dt: 358ms | remaining: 34s   
step 00729 (88.9%) | loss: 0.1863 | dt: 384ms | remaining: 33s   
step 00730 (89.1%) | loss: 0.1866 | dt: 394ms | remaining: 33s   
step 00731 (89.2%) | loss: 0.1879 | dt: 389ms | remaining: 32s   
step 00732 (89.3%) | loss: 0.1863 | dt: 373ms | remaining: 32s   
step 00733 (89.4%) | loss: 0.1835 | dt: 357ms | remaining: 32s   
step 00734 (89.5%) | loss: 0.1823 | dt: 247ms | remaining: 31s   
step 00735 (89.6%) | loss: 0.1846 | dt: 392ms | remaining: 31s   
step 00736 (89.8%) | loss: 0.1799 | dt: 378ms | remaining: 31s   
step 00737 (89.9%) | loss: 0.1857 | dt: 332ms | remaining: 30s   
step 00738 (90.0%) | loss: 0.1853 | dt: 397ms | remaining: 30s   
step 00739 (90.2%) | loss: 0.1830 | dt: 422ms | remaining: 30s   
step 00740 (90.3%) | loss: 0.1804 | dt: 350ms | remaining: 29s   
step 00741 (90.4%) | loss: 0.1809 | dt: 427ms | remaining: 29s   
step 00742 (90.5%) | loss: 0.1777 | dt: 339ms | remaining: 28s   
step 00743 (90.7%) | loss: 0.1786 | dt: 445ms | remaining: 28s   
step 00744 (90.8%) | loss: 0.1738 | dt: 364ms | remaining: 28s   
step 00745 (90.9%) | loss: 0.1752 | dt: 382ms | remaining: 27s   
step 00746 (91.1%) | loss: 0.1745 | dt: 407ms | remaining: 27s   
step 00747 (91.2%) | loss: 0.1716 | dt: 377ms | remaining: 26s   
step 00748 (91.3%) | loss: 0.1719 | dt: 333ms | remaining: 26s   
step 00749 (91.4%) | loss: 0.1687 | dt: 440ms | remaining: 26s   
step 00750 (91.6%) | loss: 0.1670 | dt: 385ms | remaining: 25s   
step 00751 (91.7%) | loss: 0.1655 | dt: 359ms | remaining: 25s   
step 00752 (91.8%) | loss: 0.1638 | dt: 340ms | remaining: 25s   
step 00753 (91.9%) | loss: 0.1673 | dt: 264ms | remaining: 24s   
step 00754 (92.0%) | loss: 0.1669 | dt: 434ms | remaining: 24s   
step 00755 (92.2%) | loss: 0.1639 | dt: 354ms | remaining: 24s   
step 00756 (92.3%) | loss: 0.1616 | dt: 450ms | remaining: 23s   
step 00757 (92.4%) | loss: 0.1651 | dt: 414ms | remaining: 23s   
step 00758 (92.6%) | loss: 0.1661 | dt: 607ms | remaining: 22s   
step 00759 (92.8%) | loss: 0.1655 | dt: 395ms | remaining: 22s   
step 00760 (92.9%) | loss: 0.1659 | dt: 354ms | remaining: 21s   
step 00761 (93.0%) | loss: 0.1642 | dt: 368ms | remaining: 21s   
step 00762 (93.1%) | loss: 0.1636 | dt: 354ms | remaining: 21s   
step 00763 (93.3%) | loss: 0.1647 | dt: 376ms | remaining: 20s   
step 00764 (93.4%) | loss: 0.1645 | dt: 312ms | remaining: 20s   
step 00765 (93.5%) | loss: 0.1670 | dt: 404ms | remaining: 20s   
step 00766 (93.6%) | loss: 0.1646 | dt: 337ms | remaining: 19s   
step 00767 (93.7%) | loss: 0.1673 | dt: 335ms | remaining: 19s   
step 00768 (93.8%) | loss: 0.1661 | dt: 324ms | remaining: 19s   
step 00769 (93.9%) | loss: 0.1680 | dt: 320ms | remaining: 18s   
step 00770 (94.0%) | loss: 0.1658 | dt: 323ms | remaining: 18s   
step 00771 (94.2%) | loss: 0.1640 | dt: 375ms | remaining: 17s   
step 00772 (94.3%) | loss: 0.1636 | dt: 407ms | remaining: 17s   
step 00773 (94.4%) | loss: 0.1664 | dt: 413ms | remaining: 17s   
step 00774 (94.6%) | loss: 0.1678 | dt: 344ms | remaining: 16s   
step 00775 (94.7%) | loss: 0.1663 | dt: 442ms | remaining: 16s   
step 00776 (94.8%) | loss: 0.1698 | dt: 352ms | remaining: 16s   
step 00777 (95.0%) | loss: 0.1736 | dt: 430ms | remaining: 15s   
step 00778 (95.1%) | loss: 0.1740 | dt: 329ms | remaining: 15s   
step 00779 (95.2%) | loss: 0.1724 | dt: 425ms | remaining: 14s   
step 00780 (95.3%) | loss: 0.1691 | dt: 401ms | remaining: 14s   
step 00781 (95.5%) | loss: 0.1720 | dt: 342ms | remaining: 14s   
step 00782 (95.6%) | loss: 0.1714 | dt: 358ms | remaining: 13s   
step 00783 (95.7%) | loss: 0.1733 | dt: 373ms | remaining: 13s   
step 00784 (95.8%) | loss: 0.1743 | dt: 315ms | remaining: 13s   
step 00785 (95.9%) | loss: 0.1738 | dt: 387ms | remaining: 12s   
step 00786 (96.1%) | loss: 0.1794 | dt: 360ms | remaining: 12s   
step 00787 (96.2%) | loss: 0.1777 | dt: 401ms | remaining: 11s   
step 00788 (96.3%) | loss: 0.1749 | dt: 418ms | remaining: 11s   
step 00789 (96.5%) | loss: 0.1775 | dt: 353ms | remaining: 11s   
step 00790 (96.6%) | loss: 0.1730 | dt: 460ms | remaining: 10s   
step 00791 (96.7%) | loss: 0.1701 | dt: 393ms | remaining: 10s   
step 00792 (96.8%) | loss: 0.1692 | dt: 339ms | remaining: 9s   
step 00793 (97.0%) | loss: 0.1690 | dt: 326ms | remaining: 9s   
step 00794 (97.1%) | loss: 0.1676 | dt: 490ms | remaining: 9s   
step 00795 (97.2%) | loss: 0.1703 | dt: 350ms | remaining: 8s   
step 00796 (97.4%) | loss: 0.1751 | dt: 407ms | remaining: 8s   
step 00797 (97.5%) | loss: 0.1741 | dt: 364ms | remaining: 8s   
step 00798 (97.6%) | loss: 0.1729 | dt: 314ms | remaining: 7s   
step 00799 (97.7%) | loss: 0.1700 | dt: 400ms | remaining: 7s   
step 00800 (97.9%) | loss: 0.1680 | dt: 389ms | remaining: 6s   
step 00801 (98.0%) | loss: 0.1689 | dt: 284ms | remaining: 6s   
step 00802 (98.1%) | loss: 0.1682 | dt: 419ms | remaining: 6s   
step 00803 (98.2%) | loss: 0.1680 | dt: 348ms | remaining: 5s   
step 00804 (98.3%) | loss: 0.1719 | dt: 401ms | remaining: 5s   
step 00805 (98.5%) | loss: 0.1691 | dt: 420ms | remaining: 5s   
step 00806 (98.6%) | loss: 0.1721 | dt: 282ms | remaining: 4s   
step 00807 (98.7%) | loss: 0.1744 | dt: 404ms | remaining: 4s   
step 00808 (98.9%) | loss: 0.1724 | dt: 474ms | remaining: 3s   
step 00809 (99.0%) | loss: 0.1715 | dt: 389ms | remaining: 3s   
step 00810 (99.1%) | loss: 0.1682 | dt: 428ms | remaining: 3s   
step 00811 (99.3%) | loss: 0.1672 | dt: 414ms | remaining: 2s   
step 00812 (99.4%) | loss: 0.1656 | dt: 442ms | remaining: 2s   
step 00813 (99.5%) | loss: 0.1772 | dt: 343ms | remaining: 1s   
step 00814 (99.7%) | loss: 0.1785 | dt: 430ms | remaining: 1s   
step 00815 (99.8%) | loss: 0.1796 | dt: 400ms | remaining: 1s   
step 00816 (99.9%) | loss: 0.1795 | dt: 354ms | remaining: 0s   
step 00817 (100.0%) | loss: 0.1816 | dt: 330ms | remaining: 0s   
---
val_bin_mse:          0.013190   (demo binary MSE)
val_bce:              0.045011   (demo binary cross-entropy)
trimnn_mse:           2352161.9651  (vs TrimNN predictions, n=200)
vf2_spearman:         0.4994  (size-3 rank correlation vs VF2)
s4_vf2_spearman:      0.0000  (size-4 rank correlation vs VF2)
training_seconds:     300.1
total_seconds:        350.9
peak_ram_mb:          0.0
num_steps:            818
num_params_M:         0.30
hidden_dim:           128
num_layers:           3
trimnn_sample:        B004_ascending
intestinal_samples:   16
Model saved: /media/volume/LLM_largeData/TrimNNCMD/autoresearch/trimnn_model.pt
